district,village,street,section,crossroad,death_toll,injured_toll,weather_desc,light_desc,road_type_desc,accident_location_desc,road_surface_condition_desc,road_surface_defect_desc,obstacle_desc,traffic_sign_desc,div_facility_desc,expressway_desc,expressway_slow_fast_lane_desc,road_side_line_desc,accident_type_and_form_desc,surveillance_tape
苓雅區,村,五福三路,,,1,1,晴,日間自然光線,直路,慢車道,乾燥,無缺陷,無障礙物,行車管制號誌,窄式無柵欄,車道線(無標記),快慢車道分隔線,無,追撞,Y
岡山區,村,新樂街,,,1,0,陰,日間自然光線,直路,慢車道,乾燥,無缺陷,無障礙物,無號誌,無標記,車道線(無標記),快慢車道分隔線,有,撞路樹、電桿,Y
楠梓區,村,創新路,,土庫二路,1,1,晴,夜間(或隧道、地下道、涵洞) 有照明,三岔路,交岔口附近,乾燥,無缺陷,無障礙物,行車管制號誌,無標記,車道線(無標記),快慢車道分隔線,無,穿越道路中,Y
左營區,村,自由四路,,自由四路,1,1,晴,日間自然光線,三岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無標記,車道線(無標記),快慢車道分隔線,無,路口交岔撞,Y
湖內區,村,忠孝街,,忠孝街,1,1,晴,晨或暮光,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,有,路口交岔撞,Y
桃源區,勤和里,勤和巷,,,1,0,晴,日間自然光線,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,其他,Y
鳳山區,村,五甲一路,,,1,0,晴,日間自然光線,直路,慢車道,乾燥,無缺陷,無障礙物,無號誌,無標記,車道線(附標記),窄式快慢車道分隔島(附柵欄),無,撞交通島,Y
岡山區,,中山北路,,平和東街,1,1,晴,日間自然光線,,交岔口附近,乾燥,無缺陷,無障礙物,行車管制號誌,,車道線(附標記),快慢車道分隔線,有,其他,Y
仁武區,村,鳳仁路,,,1,0,晴,日間自然光線,直路,路肩、路線,乾燥,無缺陷,無障礙物,無號誌,寬式(50公分以上),車道線(無標記),快慢車道分隔線,有,撞路樹、電桿,Y
鳳山區,村,鳳頂路,,過埤路,1,3,晴,夜間(或隧道、地下道、涵洞) 有照明,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,側撞,Y
苓雅區,,三多一路,,建軍路,1,0,晴,日間自然光線,多岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,寬式(50公分以上),車道線(無標記),快慢車道分隔線,無,其他,Y
美濃區,,復興街,2,龜山街,1,1,晴,日間自然光線,多岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,有,路口交岔撞,Y
燕巢區,村,海成街,,,1,0,晴,日間自然光線,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,其他,N
仁武區,村,鳳仁路,,竹門巷,1,0,晴,日間自然光線,三岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,側撞,Y
楠梓區,,德民路,,翠屏路,1,0,晴,日間自然光線,,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,側撞,Y
林園區,村,王公路,,,1,1,晴,日間自然光線,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,無標記,車道線(無標記),未繪設快慢車道分隔線,有,同向擦撞,Y
大寮區,村,鳳屏二路,,,1,2,晴,夜間(或隧道、地下道、涵洞) 有照明,直路,快車道,乾燥,無缺陷,無障礙物,無號誌,寬式(50公分以上),車道線(附標記),快慢車道分隔線,有,同向擦撞,N
三民區,村,金鼎路,,大裕路,1,0,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無標記,車道線(無標記),未繪設快慢車道分隔線,無,路口交岔撞,Y
鳳山區,村,新富路,,,1,1,晴,夜間(或隧道、地下道、涵洞) 有照明,直路,快車道,乾燥,無缺陷,無障礙物,無號誌,無標記,未繪設車道線,快慢車道分隔線,無,對撞,Y
岡山區,村,公園西路,,,1,1,晴,日間自然光線,直路,快車道,乾燥,無缺陷,無障礙物,無號誌,無標記,未繪設車道線,快慢車道分隔線,有,穿越道路中,Y
路竹區,村,大公路,,,1,0,晴,日間自然光線,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,撞路樹、電桿,N
六龜區,村,台27省道,,,1,0,晴,日間自然光線,彎曲路及附近,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,附標記,禁止變換車道線(附標記),未繪設快慢車道分隔線,有,撞護欄(樁),N
